#=#=#=# Syncrun started  2022-02-02T03:11:04Z 
#=#=#=#=# Propagation starts 2022-02-02T03:11:04Z (last step: 186 msec , total: 186 msec) 
#=#=#=# Syncrun finished 2022-02-02T03:11:04Z (last step: 9 msec , total: 195 msec) 
#=#=#=# Syncrun started  2022-02-02T05:11:09Z 
#=#=#=#=# Propagation starts 2022-02-02T05:11:09Z (last step: 208 msec , total: 208 msec) 
#=#=#=# Syncrun finished 2022-02-02T05:11:09Z (last step: 8 msec , total: 217 msec) 
#=#=#=# Syncrun started  2022-02-02T06:18:05Z 
#=#=#=#=# Propagation starts 2022-02-02T06:18:05Z (last step: 107 msec , total: 107 msec) 
#=#=#=# Syncrun finished 2022-02-02T06:18:05Z (last step: 9 msec , total: 117 msec) 
#=#=#=# Syncrun started  2022-02-02T13:18:18Z 
#=#=#=#=# Propagation starts 2022-02-02T13:18:18Z (last step: 124 msec , total: 124 msec) 
#=#=#=# Syncrun finished 2022-02-02T13:18:18Z (last step: 8 msec , total: 132 msec) 
#=#=#=# Syncrun started  2022-02-02T15:18:23Z 
#=#=#=#=# Propagation starts 2022-02-02T15:18:24Z (last step: 408 msec , total: 408 msec) 
#=#=#=# Syncrun finished 2022-02-02T15:18:24Z (last step: 75 msec , total: 484 msec) 
#=#=#=# Syncrun started  2022-02-02T17:18:27Z 
#=#=#=#=# Propagation starts 2022-02-02T17:18:27Z (last step: 102 msec , total: 102 msec) 
#=#=#=# Syncrun finished 2022-02-02T17:18:27Z (last step: 8 msec , total: 111 msec) 
#=#=#=# Syncrun started  2022-02-02T19:18:31Z 
#=#=#=#=# Propagation starts 2022-02-02T19:18:31Z (last step: 164 msec , total: 164 msec) 
#=#=#=# Syncrun finished 2022-02-02T19:18:31Z (last step: 8 msec , total: 172 msec) 
#=#=#=# Syncrun started  2022-02-02T21:18:35Z 
#=#=#=#=# Propagation starts 2022-02-02T21:18:36Z (last step: 138 msec , total: 138 msec) 
#=#=#=# Syncrun finished 2022-02-02T21:18:36Z (last step: 9 msec , total: 147 msec) 
#=#=#=# Syncrun started  2022-02-02T23:18:40Z 
#=#=#=#=# Propagation starts 2022-02-02T23:18:40Z (last step: 98 msec , total: 98 msec) 
#=#=#=# Syncrun finished 2022-02-02T23:18:40Z (last step: 8 msec , total: 107 msec) 
#=#=#=# Syncrun started  2022-02-03T01:18:46Z 
#=#=#=#=# Propagation starts 2022-02-03T01:18:46Z (last step: 102 msec , total: 102 msec) 
#=#=#=# Syncrun finished 2022-02-03T01:18:46Z (last step: 8 msec , total: 111 msec) 
#=#=#=# Syncrun started  2022-02-03T03:18:51Z 
#=#=#=#=# Propagation starts 2022-02-03T03:18:51Z (last step: 138 msec , total: 138 msec) 
#=#=#=# Syncrun finished 2022-02-03T03:18:51Z (last step: 9 msec , total: 147 msec) 
#=#=#=# Syncrun started  2022-02-03T05:18:56Z 
#=#=#=#=# Propagation starts 2022-02-03T05:18:56Z (last step: 126 msec , total: 126 msec) 
#=#=#=# Syncrun finished 2022-02-03T05:18:56Z (last step: 8 msec , total: 134 msec) 
#=#=#=# Syncrun started  2022-02-03T07:19:01Z 
#=#=#=#=# Propagation starts 2022-02-03T07:19:01Z (last step: 141 msec , total: 141 msec) 
#=#=#=# Syncrun finished 2022-02-03T07:19:01Z (last step: 8 msec , total: 149 msec) 
#=#=#=# Syncrun started  2022-02-03T09:19:06Z 
#=#=#=#=# Propagation starts 2022-02-03T09:19:06Z (last step: 142 msec , total: 142 msec) 
#=#=#=# Syncrun finished 2022-02-03T09:19:06Z (last step: 8 msec , total: 150 msec) 
#=#=#=# Syncrun started  2022-02-03T11:19:11Z 
#=#=#=#=# Propagation starts 2022-02-03T11:19:11Z (last step: 114 msec , total: 114 msec) 
#=#=#=# Syncrun finished 2022-02-03T11:19:11Z (last step: 7 msec , total: 121 msec) 
#=#=#=# Syncrun started  2022-02-03T13:19:14Z 
#=#=#=#=# Propagation starts 2022-02-03T13:19:15Z (last step: 363 msec , total: 363 msec) 
#=#=#=# Syncrun finished 2022-02-03T13:19:15Z (last step: 8 msec , total: 371 msec) 
#=#=#=# Syncrun started  2022-02-03T15:19:19Z 
